gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,CO Colorado,CO Garfield County 08045,9,Housing Choice Vouchers,3,,Garfield County,08045,442,93,404,99,5,18,2.2,870,333,846,13520,6278,12,29,24,18,18,29,7,61,22,97,75,9,36,75,39,33,50,19,7,45,21,28,2,22,1,2,0,78,-1,18,0,18,2,14,61,75,129,29,33,37,27,11,31,59,,,,,,CO,,,78.0
County,CO Colorado,CO Gilpin County 08047,9,Housing Choice Vouchers,3,,Gilpin County,08047,24,85,21,100,6,19,1.8,37,302,646,12373,7022,-1,43,29,19,10,10,10,81,21,100,76,5,24,62,29,69,100,46,-1,43,33,24,-1,10,10,-1,-1,90,-1,-1,-1,0,0,40,58,100,115,29,57,14,33,10,9,86,,,,,,CO,,,90.0
County,CO Colorado,CO Grand County 08049,9,Housing Choice Vouchers,3,,Grand County,08049,39,85,35,100,5,3,2.2,76,335,641,13490,6212,12,26,32,6,24,29,11,57,21,94,86,6,37,77,40,57,80,32,-1,37,49,14,-1,9,-1,-1,-1,91,-1,9,-1,9,0,35,87,74,100,20,43,37,34,9,11,65,,,,,,CO,,,91.0
County,CO Colorado,CO Gunnison County 08051,9,Housing Choice Vouchers,3,,Gunnison County,08051,42,85,37,100,4,22,1.8,65,282,641,10741,6114,15,26,35,15,9,24,5,62,19,100,89,3,30,73,30,45,75,32,3,49,27,22,-1,11,3,-1,-1,89,-1,8,-1,8,0,18,55,86,107,35,41,24,38,28,17,40,,,,,,CO,,,89.0
County,CO Colorado,CO Huerfano County 08055,9,Housing Choice Vouchers,3,,Huerfano County,08055,38,85,34,100,6,6,1.9,65,286,641,11229,5874,18,35,24,12,12,41,3,56,24,100,68,6,38,79,44,31,100,28,12,47,18,24,-1,68,-1,-1,-1,32,-1,68,-1,68,0,-1,76,100,136,26,41,32,44,26,55,76,,,,,,CO,,,32.0
County,CO Colorado,CO Jackson County 08057,9,Housing Choice Vouchers,3,,Jackson County,08057,2,-4,2,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,CO,,,
County,CO Colorado,CO Jefferson County 08059,9,Housing Choice Vouchers,3,,Jefferson County,08059,3923,89,3516,100,5,10,2.1,7399,362,734,14088,6695,7,30,25,16,21,24,3,70,23,97,76,4,35,77,35,49,40,25,2,45,24,28,3,43,6,1,2,57,0,33,1,34,1,15,94,90,102,33,40,27,21,16,30,47,,,,,,CO,,,57.0
County,CO Colorado,CO Kiowa County 08061,9,Housing Choice Vouchers,3,,Kiowa County,08061,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,CO,,,
County,CO Colorado,CO Kit Carson County 08063,9,Housing Choice Vouchers,3,,Kit Carson County,08063,15,85,13,100,5,15,1.2,16,289,641,10492,8525,23,23,31,15,8,31,23,46,24,92,77,-1,15,69,15,55,50,44,8,46,31,15,-1,8,-1,-1,-1,92,-1,8,-1,8,0,4,93,69,121,31,62,8,46,12,20,75,,,,,,CO,,,92.0
County,CO Colorado,CO Lake County 08065,9,Housing Choice Vouchers,3,,Lake County,08065,36,85,32,100,6,-1,1.9,61,301,641,12381,6495,14,38,10,17,21,31,9,50,27,84,66,3,28,78,31,38,100,30,-1,59,16,25,-1,50,-1,-1,3,50,-1,47,-1,47,0,-1,77,81,103,31,38,31,38,13,39,70,,,,,,CO,,,50.0
