gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,WV West Virginia,WV Mingo County 54059,9,Housing Choice Vouchers,3,,Mingo County,54059,218,109,251,100,5,45,2.0,506,199,546,7466,3703,25,49,19,6,1,14,5,71,20,98,83,5,40,78,41,40,64,22,14,58,18,11,-1,3,3,-1,-1,97,-1,-1,-1,0,0,23,41,95,143,12,56,32,43,23,5,67,,,,,,WV,,,97.0
County,WV West Virginia,WV Monongalia County 54061,9,Housing Choice Vouchers,3,,Monongalia County,54061,623,86,588,100,5,26,2.2,1316,279,632,10633,4751,19,36,19,14,12,33,2,59,21,97,76,11,39,75,45,35,72,21,7,62,20,12,1,20,19,1,0,80,-1,-1,-1,0,2,9,59,72,152,32,41,27,13,21,12,52,,,,,,WV,,,80.0
County,WV West Virginia,WV Monroe County 54063,9,Housing Choice Vouchers,3,,Monroe County,54063,39,66,25,98,7,-1,2.6,66,250,487,10342,3917,5,45,27,18,5,24,-1,64,25,96,72,16,40,80,52,48,100,24,-1,68,16,16,-1,4,-1,4,-1,96,-1,-1,-1,0,0,-1,110,100,150,20,40,40,16,15,3,76,,,,,,WV,,,96.0
County,WV West Virginia,WV Morgan County 54065,9,Housing Choice Vouchers,3,,Morgan County,54065,14,-4,10,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WV,,,
County,WV West Virginia,WV Nicholas County 54067,9,Housing Choice Vouchers,3,,Nicholas County,54067,188,86,172,100,5,22,2.1,368,258,497,9359,4374,11,46,23,13,7,18,3,64,24,96,71,6,45,83,48,41,96,25,6,59,20,15,-1,3,1,-1,1,97,-1,2,-1,2,0,11,62,92,166,23,46,31,27,20,2,66,,,,,,WV,,,97.0
County,WV West Virginia,WV Ohio County 54069,9,Housing Choice Vouchers,3,,Ohio County,54069,460,87,406,100,5,30,2.1,865,254,504,9943,4667,17,36,23,17,7,34,2,54,23,98,69,3,47,84,48,26,49,16,9,52,22,17,1,22,21,1,-1,78,0,0,-1,1,3,11,60,83,167,28,42,30,24,28,14,54,,,,,,WV,,,78.0
County,WV West Virginia,WV Pendleton County 54071,9,Housing Choice Vouchers,3,,Pendleton County,54071,12,95,12,100,3,17,2.2,26,276,452,11020,5086,18,36,9,18,18,25,-1,67,27,100,58,8,33,92,42,30,50,15,-1,58,25,17,-1,8,8,-1,-1,92,-1,-1,-1,0,0,3,61,92,172,25,42,33,33,16,4,73,,,,,,WV,,,92.0
County,WV West Virginia,WV Pleasants County 54073,9,Housing Choice Vouchers,3,,Pleasants County,54073,16,86,14,100,6,50,2.4,34,252,522,10804,4449,21,21,36,7,14,43,7,50,24,93,79,-1,64,93,64,38,100,21,-1,64,29,7,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,5,37,100,145,7,71,21,21,12,3,74,,,,,,WV,,,100.0
County,WV West Virginia,WV Pocahontas County 54075,9,Housing Choice Vouchers,3,,Pocahontas County,54075,18,64,11,97,8,9,1.5,16,292,485,10788,7417,9,45,27,18,-1,-1,-1,100,30,100,55,-1,18,82,9,100,100,81,-1,18,36,45,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,17,91,73,156,55,18,27,36,20,3,72,,,,,,WV,,,100.0
County,WV West Virginia,WV Preston County 54077,9,Housing Choice Vouchers,3,,Preston County,54077,146,86,138,100,5,21,2.1,286,266,632,10567,5099,19,40,17,12,12,20,3,73,22,98,77,7,40,78,41,47,87,31,9,50,25,17,-1,8,8,-1,-1,92,-1,-1,-1,0,0,12,50,94,182,25,49,27,25,14,2,73,,,,,,WV,,,92.0
