Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2018-12-31,County,VA Virginia,VA Sussex County 51183,9,Housing Choice Vouchers,3,,Sussex County,51183,105,92,97,100,5,1,2.6,256,255,737,10736,4068,12,33,25,16,14,34,2,47,15,100,90,2,47,93,47,21,79,17,-1,55,26,20,1,95,95,-1,-1,5,-1,-1,-1,0,0,-1,129,100,137,45,29,26,7,21,62,69,,,,,,VA,,,5.0
2018-12-31,County,VA Virginia,VA Tazewell County 51185,9,Housing Choice Vouchers,3,,Tazewell County,51185,285,92,264,100,6,18,2.2,586,252,737,10446,4706,16,41,23,14,6,19,3,74,23,98,72,5,43,87,45,40,90,29,5,48,21,26,1,14,13,0,-1,86,-1,1,-1,1,0,41,90,100,130,61,33,6,1,17,5,67,,,,,,VA,,,86.0
2018-12-31,County,VA Virginia,VA Warren County 51187,9,Housing Choice Vouchers,3,,Warren County,51187,106,92,98,100,5,18,2.4,233,325,737,13324,5604,9,29,31,16,16,28,3,65,21,98,84,3,46,80,46,53,92,33,3,51,21,24,-1,43,39,-1,-1,57,1,3,-1,4,0,47,104,99,123,37,45,18,9,14,15,72,,,,,,VA,,,57.0
2018-12-31,County,VA Virginia,VA Washington County 51191,9,Housing Choice Vouchers,3,,Washington County,51191,218,83,215,100,4,26,1.9,398,312,394,11362,6138,5,46,32,13,4,20,5,75,27,99,65,4,31,73,29,62,70,38,3,38,31,28,1,7,5,-1,-1,93,-1,1,-1,1,0,9,63,99,131,25,53,22,37,19,6,58,,,,,,VA,,,93.0
2018-12-31,County,VA Virginia,VA Westmoreland County 51193,9,Housing Choice Vouchers,3,,Westmoreland County,51193,44,92,41,100,5,7,3.6,147,374,737,13706,3823,11,14,28,22,25,37,5,46,23,95,66,12,68,88,73,37,100,20,-1,63,29,7,-1,78,78,-1,-1,22,-1,-1,-1,0,0,74,113,98,109,17,46,37,2,9,40,87,,,,,,VA,,,22.0
2018-12-31,County,VA Virginia,VA Wise County 51195,9,Housing Choice Vouchers,3,,Wise County,51195,904,91,828,100,6,24,2.2,1834,291,469,9955,4495,19,44,22,10,5,20,8,71,22,99,79,14,34,77,42,46,94,28,9,49,22,20,1,5,3,0,-1,95,0,1,-1,1,0,10,70,97,178,42,37,21,11,20,7,62,,,,,,VA,,,95.0
2018-12-31,County,VA Virginia,VA Wythe County 51197,9,Housing Choice Vouchers,3,,Wythe County,51197,136,100,134,99,4,25,1.7,231,324,343,12204,7079,7,33,32,20,8,19,-1,80,29,96,53,3,27,76,27,51,36,31,-1,37,25,37,1,19,19,-1,1,81,-1,-1,-1,0,1,30,59,95,139,25,51,24,40,16,7,67,,,,,,VA,,,81.0
2018-12-31,County,VA Virginia,VA York County 51199,9,Housing Choice Vouchers,3,,York County,51199,206,92,191,100,5,8,2.5,478,361,737,14267,5701,9,26,23,13,29,38,2,50,23,95,71,4,49,85,50,23,64,17,2,57,18,24,2,86,82,-1,1,14,2,2,1,4,0,86,124,100,105,42,35,23,8,13,50,53,,,,,,VA,,,14.0
2018-12-31,County,VA Virginia,VA Alexandria city 51510,9,Housing Choice Vouchers,3,,Alexandria city,51510,1930,84,1386,85,5,8,2.1,2920,477,1058,18250,8662,14,24,16,11,35,45,1,53,19,96,79,2,35,75,31,23,54,17,1,45,26,27,1,92,81,-1,1,8,2,8,0,10,0,64,112,61,185,45,40,16,11,14,58,7,,,,,,VA,,,8.0
2018-12-31,County,VA Virginia,VA Bristol city 51520,9,Housing Choice Vouchers,3,,Bristol city,51520,304,88,265,99,5,20,1.7,463,289,375,11590,6634,6,44,29,13,7,15,1,83,27,98,67,2,25,75,25,61,63,38,1,31,27,41,2,25,22,-1,1,75,0,2,0,2,1,11,76,97,141,24,52,24,42,24,11,65,,,,,,VA,,,75.0
