Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2018-12-31,County,SC South Carolina,SC McCormick County 45065,9,Housing Choice Vouchers,3,,McCormick County,45065,35,97,34,100,6,9,1.6,53,277,453,10516,6746,13,34,28,22,3,24,-1,71,27,91,59,-1,32,79,32,45,50,32,-1,35,29,35,3,82,82,-1,-1,18,-1,-1,-1,0,0,3,82,100,161,59,18,24,15,23,63,67,,,,,,SC,,,18.0
2018-12-31,County,SC South Carolina,SC Marion County 45067,9,Housing Choice Vouchers,3,,Marion County,45067,213,-5,92,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,SC,,,
2018-12-31,County,SC South Carolina,SC Marlboro County 45069,9,Housing Choice Vouchers,3,,Marlboro County,45069,193,87,167,100,5,11,2.3,385,269,416,10972,4759,12,40,23,13,12,35,1,55,28,91,65,1,54,94,54,35,65,18,1,63,25,12,1,90,87,2,-1,10,-1,1,-1,1,0,47,108,100,155,14,44,42,28,29,65,69,,,,,,SC,,,10.0
2018-12-31,County,SC South Carolina,SC Newberry County 45071,9,Housing Choice Vouchers,3,,Newberry County,45071,232,80,181,97,6,4,2.0,366,257,571,12625,6244,14,26,31,14,16,28,1,70,30,91,54,4,35,85,36,38,62,25,2,47,21,30,1,70,70,-1,-1,30,-1,-1,-1,0,0,31,112,94,247,33,21,46,31,24,48,66,,,,,,SC,,,30.0
2018-12-31,County,SC South Carolina,SC Oconee County 45073,9,Housing Choice Vouchers,3,,Oconee County,45073,59,97,57,100,6,5,1.8,101,302,453,11505,6493,7,44,24,18,7,11,-1,86,26,96,65,-1,33,88,33,56,61,37,-1,47,21,32,2,54,51,-1,-1,46,-1,4,-1,4,0,7,99,100,169,11,54,35,53,22,24,65,,,,,,SC,,,46.0
2018-12-31,County,SC South Carolina,SC Orangeburg County 45075,9,Housing Choice Vouchers,3,,Orangeburg County,45075,115,89,100,98,4,11,3.0,296,340,600,11560,3905,14,40,23,12,11,25,3,72,26,93,69,-1,58,96,57,40,73,18,1,59,25,15,1,93,92,-1,-1,7,-1,1,-1,1,0,17,114,99,252,7,30,63,27,24,74,58,,,,,,SC,,,7.0
2018-12-31,County,SC South Carolina,SC Pickens County 45077,9,Housing Choice Vouchers,3,,Pickens County,45077,249,97,239,100,6,13,1.7,400,321,453,13345,7974,4,31,31,18,15,13,-1,85,27,98,64,1,21,87,21,67,52,41,0,27,29,44,3,35,33,-1,-1,65,0,2,-1,2,0,8,91,100,156,22,53,25,49,21,17,62,,,,,,SC,,,65.0
2018-12-31,County,SC South Carolina,SC Richland County 45079,9,Housing Choice Vouchers,3,,Richland County,45079,3875,90,3422,99,6,6,2.5,8602,305,623,12816,5099,16,26,20,14,24,39,1,52,22,95,72,1,56,88,56,20,60,12,2,64,22,13,0,95,94,0,0,5,0,0,-1,0,0,10,106,100,184,16,34,50,26,26,75,56,,,,,,SC,,,5.0
2018-12-31,County,SC South Carolina,SC Saluda County 45081,9,Housing Choice Vouchers,3,,Saluda County,45081,112,97,108,100,5,11,1.8,199,301,456,12822,6959,6,33,35,13,12,19,-1,79,24,98,76,-1,31,89,31,52,32,27,-1,38,28,34,2,82,82,-1,-1,18,-1,-1,-1,0,1,43,70,100,178,14,34,52,57,24,49,64,,,,,,SC,,,18.0
2018-12-31,County,SC South Carolina,SC Spartanburg County 45083,9,Housing Choice Vouchers,3,,Spartanburg County,45083,2435,89,2136,98,5,10,2.3,4909,337,464,12906,5616,15,31,23,14,18,29,0,68,27,90,65,1,50,90,50,32,83,22,3,56,20,21,1,85,83,0,0,15,1,1,0,2,1,20,75,95,158,17,41,41,29,25,55,67,,,,,,SC,,,15.0
2018-12-31,County,SC South Carolina,SC Sumter County 45085,9,Housing Choice Vouchers,3,,Sumter County,45085,930,97,894,99,5,15,2.1,1862,267,454,11359,5454,11,40,26,13,10,22,0,73,29,92,62,1,42,83,40,48,58,26,2,50,24,24,1,91,90,0,0,9,0,0,0,1,0,8,79,100,143,11,44,45,50,29,69,57,,,,,,SC,,,9.0
2018-12-31,County,SC South Carolina,SC Union County 45087,9,Housing Choice Vouchers,3,,Union County,45087,275,79,213,98,6,3,2.6,558,321,428,12766,4873,23,27,15,18,16,41,0,58,31,85,57,1,67,96,68,21,72,13,5,71,15,8,0,83,83,-1,-1,17,-1,-1,-1,0,0,18,107,100,201,3,38,60,33,24,38,69,,,,,,SC,,,17.0
2018-12-31,County,SC South Carolina,SC Williamsburg County 45089,9,Housing Choice Vouchers,3,,Williamsburg County,45089,89,68,61,100,5,8,2.8,171,251,536,10263,3661,22,34,25,12,7,23,-1,74,24,95,72,2,66,95,66,31,50,16,-1,66,15,20,-1,100,100,-1,-1,-1,-1,-1,-1,0,0,25,85,100,203,13,26,61,21,29,80,54,,,,,,SC,,,0.0
2018-12-31,County,SC South Carolina,SC York County 45091,9,Housing Choice Vouchers,3,,York County,45091,853,92,811,100,5,3,2.2,1810,353,622,14548,6518,7,24,28,19,22,32,0,64,24,96,71,2,43,90,43,30,46,18,1,44,19,36,2,76,72,0,-1,24,1,2,-1,3,0,19,109,100,151,18,38,44,38,21,44,68,,,,,,SC,,,24.0
2018-12-31,County,SC South Carolina,"SC Missing, South Carolina 45XXX",9,Housing Choice Vouchers,3,,Missing County,45XXX,74,93,69,100,4,-1,3.2,220,-1,574,15351,4815,17,27,11,14,32,46,-1,49,-1,-1,-1,-1,75,97,75,17,33,11,1,77,13,9,1,88,84,-1,-1,12,-1,4,-1,4,1,-1,-1,-1,-1,42,26,32,14,-1,-1,-1,,,,,,SC,,,12.0
