Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2016-12-31,County,TX Texas,"TX Webb County, Texas 48479",9,Housing Choice Vouchers,3,,Webb County,48479,1334,91,1205,99,5,8,3.3,3977,396,593,13433,4070,5,35,25,20,15,40,0,58,28,94,64,9,57,89,63,15,78,16,4,60,16,20,2,99,0,-1,-1,1,-1,99,-1,99,0,25,100,95,178,22,32,46,2,35,97,61,,,,,,TX,,,1.0
2016-12-31,County,TX Texas,"TX Wharton County, Texas 48481",9,Housing Choice Vouchers,3,,Wharton County,48481,47,51,24,100,7,-1,1.9,45,279,701,11602,6188,8,63,13,4,13,25,-1,75,27,96,79,-1,29,83,29,50,90,42,-1,29,29,42,4,96,79,-1,-1,4,-1,17,-1,17,0,-1,166,100,127,38,33,29,25,20,58,65,,,,,,TX,,,4.0
2016-12-31,County,TX Texas,"TX Wheeler County, Texas 48483",9,Housing Choice Vouchers,3,,Wheeler County,48483,29,72,21,100,6,29,1.7,36,268,676,12233,7136,5,48,29,10,10,19,-1,81,25,95,76,10,24,71,19,71,71,53,5,24,38,33,10,38,14,5,-1,62,-1,19,-1,19,0,2,68,95,98,19,62,19,52,21,26,85,,,,,,TX,,,62.0
2016-12-31,County,TX Texas,"TX Wichita County, Texas 48485",9,Housing Choice Vouchers,3,,Wichita County,48485,1003,94,927,99,5,27,1.6,1489,308,436,12084,7523,4,41,31,17,7,22,0,77,28,98,65,1,23,74,23,65,79,47,5,36,27,32,2,47,34,1,1,53,0,11,0,11,1,10,56,83,69,52,34,14,23,23,39,66,,,,,,TX,,,53.0
2016-12-31,County,TX Texas,"TX Wilbarger County, Texas 48487",9,Housing Choice Vouchers,3,,Wilbarger County,48487,65,79,51,99,7,4,1.5,79,321,426,13393,8646,2,27,41,20,10,16,-1,84,34,88,41,2,25,76,24,62,32,33,6,20,25,49,10,35,24,-1,-1,65,-1,12,-1,12,0,26,67,100,119,47,43,10,20,28,44,64,,,,,,TX,,,65.0
2016-12-31,County,TX Texas,"TX Willacy County, Texas 48489",9,Housing Choice Vouchers,3,,Willacy County,48489,57,-5,51,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,TX,,,
2016-12-31,County,TX Texas,"TX Williamson County, Texas 48491",9,Housing Choice Vouchers,3,,Williamson County,48491,747,92,764,100,5,6,2.9,2205,453,968,17309,5997,7,22,22,14,35,38,1,57,25,92,68,4,57,90,59,27,74,19,1,64,15,19,1,74,52,0,1,26,1,19,0,20,0,24,102,100,185,18,27,54,17,12,45,63,,,,,,TX,,,26.0
2016-12-31,County,TX Texas,"TX Wilson County, Texas 48493",9,Housing Choice Vouchers,3,,Wilson County,48493,78,91,69,98,5,20,1.9,131,299,511,12627,6651,3,34,37,12,15,25,-1,74,26,100,71,6,38,75,41,45,28,21,6,38,14,42,-1,64,1,-1,-1,36,-1,62,-1,62,0,9,56,97,97,39,48,13,16,14,62,67,,,,,,TX,,,36.0
2016-12-31,County,TX Texas,"TX Winkler County, Texas 48495",9,Housing Choice Vouchers,3,,Winkler County,48495,20,61,12,99,4,8,2.3,27,190,855,8039,3573,25,58,8,8,-1,8,-1,92,19,100,92,-1,42,58,33,44,33,19,8,42,25,25,8,50,8,-1,-1,50,-1,42,-1,42,0,2,43,92,156,17,58,25,42,14,62,84,,,,,,TX,,,50.0
2016-12-31,County,TX Texas,"TX Wise County, Texas 48497",9,Housing Choice Vouchers,3,,Wise County,48497,19,73,12,87,7,-1,1.5,18,339,501,14517,9678,-1,17,58,8,17,8,-1,92,29,92,67,-1,17,92,17,80,14,33,-1,-1,42,58,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,-1,108,92,78,42,17,42,42,16,40,68,,,,,,TX,,,100.0
2016-12-31,County,TX Texas,"TX Wood County, Texas 48499",9,Housing Choice Vouchers,3,,Wood County,48499,33,81,26,98,6,4,1.7,44,262,522,10804,6384,8,38,46,4,4,15,-1,85,27,96,62,4,23,92,27,55,93,50,-1,27,15,58,15,27,27,-1,-1,73,-1,-1,-1,0,0,12,104,100,140,50,23,27,23,17,22,76,,,,,,TX,,,73.0
2016-12-31,County,TX Texas,"TX Yoakum County, Texas 48501",9,Housing Choice Vouchers,3,,Yoakum County,48501,7,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2016-12-31,County,TX Texas,"TX Young County, Texas 48503",9,Housing Choice Vouchers,3,,Young County,48503,18,85,17,100,6,47,1.5,26,297,515,12911,8442,6,18,53,18,6,18,-1,82,30,94,53,-1,18,71,18,-1,15,8,6,18,-1,76,18,6,-1,-1,-1,94,-1,6,-1,6,0,3,41,100,66,76,12,12,6,14,22,86,,,,,,TX,,,94.0
2016-12-31,County,TX Texas,"TX Zapata County, Texas 48505",9,Housing Choice Vouchers,3,,Zapata County,48505,40,91,36,99,6,-1,3.0,109,322,593,10582,3495,6,53,28,11,3,22,-1,78,23,100,83,6,56,75,58,28,91,18,-1,47,22,31,8,97,-1,-1,-1,3,-1,97,-1,97,0,-1,136,100,191,28,44,28,-1,36,94,56,,,,,,TX,,,3.0
2016-12-31,County,TX Texas,"TX Zavala County, Texas 48507",9,Housing Choice Vouchers,3,,Zavala County,48507,231,-5,103,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,TX,,,
2016-12-31,County,TX Texas,"TX Missing, Texas 48XXX",9,Housing Choice Vouchers,3,,Missing County,48XXX,997,92,942,100,4,0,2.8,2676,128,653,13258,4667,16,31,18,14,21,38,1,57,-1,-1,-1,4,59,85,60,30,78,18,4,67,19,10,0,92,40,0,0,8,1,50,1,52,0,-1,523,27,138,87,5,4,2,-1,-1,-1,,,,,,TX,,,8.0
