Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2018-12-31,County,SD South Dakota,SD Kingsbury County 46077,9,Housing Choice Vouchers,3,,Kingsbury County,46077,8,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,
2018-12-31,County,SD South Dakota,SD Lake County 46079,9,Housing Choice Vouchers,3,,Lake County,46079,103,95,82,83,11,15,1.9,156,315,286,13113,6893,8,37,21,17,18,28,-1,66,22,100,77,7,26,61,26,36,58,25,5,50,16,29,9,17,2,10,-1,83,-1,4,1,5,0,39,56,77,168,30,34,35,38,20,6,70,,,,,,SD,,,83.0
2018-12-31,County,SD South Dakota,SD Lawrence County 46081,9,Housing Choice Vouchers,3,,Lawrence County,46081,299,74,228,100,4,14,1.9,428,288,475,11924,6352,6,28,36,18,14,23,0,64,22,98,78,4,34,69,33,47,93,33,2,49,22,27,4,9,1,5,1,91,-1,1,0,1,0,11,67,64,132,55,26,19,9,14,7,56,,,,,,SD,,,91.0
2018-12-31,County,SD South Dakota,SD Lincoln County 46083,9,Housing Choice Vouchers,3,,Lincoln County,46083,131,89,119,100,5,22,2.5,293,369,510,14960,6076,14,16,21,20,29,34,1,57,23,94,69,3,60,86,59,36,29,16,3,66,17,14,3,18,13,2,1,82,-1,2,-1,2,1,17,58,95,99,20,42,38,13,3,5,70,,,,,,SD,,,82.0
2018-12-31,County,SD South Dakota,SD McPherson County 46089,9,Housing Choice Vouchers,3,,McPherson County,46089,4,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,
2018-12-31,County,SD South Dakota,SD Marshall County 46091,9,Housing Choice Vouchers,3,,Marshall County,46091,17,71,12,99,7,8,1.1,13,374,359,13547,12505,-1,17,58,17,8,8,-1,92,28,100,50,-1,8,67,8,50,50,46,8,-1,8,83,17,0,-1,-1,-1,100,-1,-1,-1,0,0,6,80,33,185,58,33,8,42,8,15,78,,,,,,SD,,,100.0
2018-12-31,County,SD South Dakota,SD Meade County 46093,9,Housing Choice Vouchers,3,,Meade County,46093,162,76,127,100,3,20,2.2,283,330,468,13446,6034,6,26,27,21,20,35,1,55,25,96,68,6,41,71,39,34,96,23,4,52,22,22,2,13,1,6,-1,87,-1,5,1,6,0,11,67,84,179,48,22,30,5,11,8,64,,,,,,SD,,,87.0
2018-12-31,County,SD South Dakota,SD Miner County 46097,9,Housing Choice Vouchers,3,,Miner County,46097,8,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,
2018-12-31,County,SD South Dakota,SD Minnehaha County 46099,9,Housing Choice Vouchers,3,,Minnehaha County,46099,1844,92,1654,97,4,5,2.3,3812,308,545,13105,5686,8,30,26,15,20,20,2,69,20,98,80,4,39,73,39,44,61,25,1,49,24,26,3,35,16,16,1,65,0,2,0,3,0,34,93,70,99,45,25,30,7,14,19,51,,,,,,SD,,,65.0
2018-12-31,County,SD South Dakota,SD Moody County 46101,9,Housing Choice Vouchers,3,,Moody County,46101,27,62,16,97,5,25,1.8,29,325,444,17451,9628,13,25,19,19,25,31,-1,69,35,75,50,-1,19,81,19,45,20,21,-1,38,31,31,6,38,-1,13,13,63,-1,6,6,13,0,9,34,88,162,63,19,19,-1,18,25,76,,,,,,SD,,,62.0
